id,gender,masterCategory,label,subCategory,articleType,baseColour,usage,season,productDisplayName
1163,Men,Apparel,0,Topwear,Tshirts,Blue,Sports,Summer,Nike Sahara Team India Fanwear Round Neck Jersey
1164,Men,Apparel,0,Topwear,Tshirts,Blue,Sports,Winter,Nike Men Blue T20 Indian Cricket Jersey
1165,Men,Apparel,0,Topwear,Tshirts,Blue,Sports,Summer,Nike Mean Team India Cricket Jersey
1525,Unisex,Accessories,1,Bags,Backpacks,Navy Blue,Casual,Fall,Puma Deck Navy Blue Backpack
1526,Unisex,Accessories,1,Bags,Backpacks,Black,Sports,Fall,Puma Big Cat Backpack Black
1528,Men,Apparel,0,Topwear,Jackets,Black,Sports,Fall,Puma Men Ferrari Black Fleece Jacket
1529,Men,Apparel,0,Topwear,Tshirts,Red,Casual,Fall,Ferrari Tee
1530,Men,Apparel,0,Topwear,Jackets,Red,Sports,Fall,Puma Men Ferrari Track Jacket
1531,Men,Apparel,0,Topwear,Tshirts,Grey,Casual,Fall,Puma Men Grey Solid Round Neck T-Shirt
1532,Men,Apparel,0,Topwear,Tshirts,Grey,Casual,Fall,Puma Men Grey Leaping Cat T-shirt
1533,Men,Apparel,0,Topwear,Tshirts,Red,Casual,Fall,Puma Men Cat Red T-shirt
1534,Men,Apparel,0,Topwear,Tshirts,Black,Casual,Fall,Puma Men Black Leaping Cat T-shirt
1535,Unisex,Accessories,1,Headwear,Caps,Black,Sports,Fall,Puma Unisex Logo Cap
1536,Men,Apparel,0,Topwear,Tshirts,Black,Sports,Fall,Puma Men Black Net Jersey
1537,Men,Apparel,0,Topwear,Tshirts,Red,Sports,Fall,Puma Men Red Net Jersey
1538,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Fall,Puma Men Ferrari Track Black T-shirt
1539,Men,Apparel,0,Topwear,Tshirts,Grey,Casual,Fall,Puma Men Ferrari Grey T-shirt
1540,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Fall,Puma Men Ferrari Vintage Black Polo T-shirt
1541,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Puma Men's Ballistic Spike White Green Shoe
1542,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Puma Men's Ballistic Rubber Shoe
1543,Men,Footwear,2,Shoes,Casual Shoes,Black,Casual,Fall,Puma Men Basket-Biz Sneaker
1544,Men,Footwear,2,Shoes,Casual Shoes,White,Casual,Fall,Puma Men's Basket Bump Sneaker
1545,Men,Footwear,2,Shoes,Casual Shoes,White,Casual,Fall,Puma Men's Speed Cat Shoe
